id,isapre,categoria,perfil,precio_desde_clp,precio_hasta_clp
43,Cruz Blanca,Pareja,Pareja 1 (hombre y mujer 30 años),$168.362,$725.485
44,Cruz Blanca,Pareja,Pareja 2 (hombre y mujer 40 años),$195.075,$919.334
45,Cruz Blanca,Pareja,Pareja 3 (hombre y mujer 50 años),$203.979,$983.951
46,Cruz Blanca,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$234.735,$958.995
47,Cruz Blanca,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$261.447,$1.152.844
48,Cruz Blanca,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$274.804,$1.249.769
49,Consalud,Individual,Hombre 30 años,$77.237,$292.081
50,Consalud,Individual,Hombre 40 años,$91.451,$370.748
51,Consalud,Individual,Hombre 50 años,$96.189,$396.971
52,Consalud,Individual,Mujer 30 años,$77.237,$292.081
53,Consalud,Individual,Mujer 40 años,$91.451,$370.748
54,Consalud,Individual,Mujer 50 años,$96.189,$396.971
55,Consalud,Pareja,Pareja 1 (hombre y mujer 30 años),$154.475,$584.162
56,Consalud,Pareja,Pareja 2 (hombre y mujer 40 años),$182.903,$741.496
57,Consalud,Pareja,Pareja 3 (hombre y mujer 50 años),$192.379,$793.941
58,Consalud,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$212.761,$771.354
59,Consalud,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$241.188,$928.688
60,Consalud,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$255.402,$1.007.355
61,Banmédica,Individual,Hombre 30 años,$67.371,$376.384
62,Banmédica,Individual,Hombre 40 años,$78.430,$480.146
63,Banmédica,Individual,Hombre 50 años,$82.116,$514.733
64,Banmédica,Individual,Mujer 30 años,$67.371,$376.384
65,Banmédica,Individual,Mujer 40 años,$78.430,$480.146
66,Banmédica,Individual,Mujer 50 años,$82.116,$514.733
67,Banmédica,Pareja,Pareja 1 (hombre y mujer 30 años),$134.742,$752.767
68,Banmédica,Pareja,Pareja 2 (hombre y mujer 40 años),$156.859,$960.292
69,Banmédica,Pareja,Pareja 3 (hombre y mujer 50 años),$164.232,$1.029.467
70,Banmédica,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$187.368,$990.801
71,Banmédica,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$209.485,$1.198.326
72,Banmédica,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),N/A,N/A
73,Colmena,Individual,Hombre 30 años,$85.724,$249.249
74,Colmena,Individual,Hombre 40 años,$99.253,$311.836
75,Colmena,Individual,Hombre 50 años,$103.762,$332.698
76,Colmena,Individual,Mujer 30 años,$85.724,$249.249
77,Colmena,Individual,Mujer 40 años,$99.253,$311.836
78,Colmena,Individual,Mujer 50 años,$103.762,$332.698
79,Colmena,Pareja,Pareja 1 (hombre y mujer 30 años),$171.447,$498.499
80,Colmena,Pareja,Pareja 2 (hombre y mujer 40 años),$198.505,$623.672
81,Colmena,Pareja,Pareja 3 (hombre y mujer 50 años),$207.525,$665.397
82,Colmena,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$239.132,$664.299
83,Colmena,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$266.190,$789.472
84,Colmena,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$279.719,$852.059
